,SO2,NO2,NO,NOx,CO,PM2_5,PM10,time,day,month,year,datetime
18867,,,,,,,,2,1,3,2022,2022-03-01 02:00:00
18868,7.70034,1.1391938,0.72858524,1.840395,0.96412104,24.777052,57.23203,3,1,3,2022,2022-03-01 03:00:00
18869,7.70034,1.1391938,0.72858524,1.840395,0.96412104,24.777052,57.23203,4,1,3,2022,2022-03-01 04:00:00
18870,8.169662,0.40035355,0.610828,1.0264188,1.0942487,36.35076,75.19958,5,1,3,2022,2022-03-01 05:00:00
18871,8.01848,0.40602094,0.6273717,1.0478946,1.0929611,36.196346,74.964745,6,1,3,2022,2022-03-01 06:00:00
18872,10.333084,0.26945886,0.10988436,0.39648396,1.2113838,43.774727,86.69666,7,1,3,2022,2022-03-01 07:00:00
18873,9.996937,0.2650104,0.13606028,0.41835898,1.1973916,42.837208,85.24403,8,1,3,2022,2022-03-01 08:00:00
18874,12.112129,0.1515864,-0.18269895,0.0002877798,1.292015,48.258427,93.71117,9,1,3,2022,2022-03-01 09:00:00
18875,11.414062,0.15819211,-0.20304742,-0.021825701,1.2630631,46.637558,91.14808,10,1,3,2022,2022-03-01 10:00:00
18876,13.114057,0.08721381,-0.293862,-0.16088057,1.3365877,50.746243,97.63123,11,1,3,2022,2022-03-01 11:00:00
18877,12.155488,0.10322882,-0.29847056,-0.15991297,1.2965904,48.61639,94.26233,12,1,3,2022,2022-03-01 12:00:00
18878,13.318712,0.04832931,-0.3690424,-0.26904422,1.348172,51.557255,98.89927,13,1,3,2022,2022-03-01 13:00:00
18879,12.197806,0.07164172,-0.36661518,-0.255775,1.3011409,49.03564,94.912476,14,1,3,2022,2022-03-01 14:00:00
18880,12.892853,0.031615518,-0.41760534,-0.3359752,1.3330191,50.906303,97.859886,15,1,3,2022,2022-03-01 15:00:00
18881,11.675912,0.06068889,-0.41361287,-0.3169503,1.2819728,48.162643,93.52118,16,1,3,2022,2022-03-01 16:00:00
18882,11.990898,0.03438792,-0.45016396,-0.37365627,1.2974128,49.124744,95.03486,17,1,3,2022,2022-03-01 17:00:00
18883,10.792041,0.06617771,-0.41029724,-0.31363437,1.2469882,46.336494,90.643715,18,1,3,2022,2022-03-01 18:00:00
18884,10.807488,0.051835205,-0.4423773,-0.3582079,1.2495071,46.59111,91.03758,19,1,3,2022,2022-03-01 19:00:00
18885,9.839975,0.08125796,-0.26982245,-0.1556045,1.2072574,43.94794,86.94831,20,1,3,2022,2022-03-01 20:00:00
18886,9.687288,0.07555441,-0.2656158,-0.15549083,1.2020979,43.705757,86.573685,21,1,3,2022,2022-03-01 21:00:00
18887,8.850372,0.119500384,-0.091374084,0.06295743,1.1657622,41.454376,83.09326,22,1,3,2022,2022-03-01 22:00:00
18888,8.639994,0.19157292,0.056117963,0.28325218,1.1582121,41.219635,82.74218,23,1,3,2022,2022-03-01 23:00:00
18889,8.121196,0.27504689,0.2519165,0.56197464,1.1309085,39.612545,80.26143,0,2,3,2022,2022-03-02 00:00:00
18890,8.241216,0.30917394,0.28086334,0.6249742,1.1284007,39.52969,80.13149,1,2,3,2022,2022-03-02 01:00:00
18891,11.707126,0.13297828,-0.26312512,-0.107631885,1.2218058,44.610645,87.93383,2,2,3,2022,2022-03-02 02:00:00
18892,11.651283,0.17240848,-0.19130263,0.0019956415,1.2390296,45.697823,89.63895,3,2,3,2022,2022-03-02 03:00:00
18893,13.555321,0.1255597,-0.5797982,-0.43637583,1.3354944,51.50039,98.627205,4,2,3,2022,2022-03-02 04:00:00
18894,14.175658,0.13460119,-0.24604468,-0.06503516,1.3741238,53.06154,101.24463,5,2,3,2022,2022-03-02 05:00:00
18895,16.199738,0.0708813,-0.2198476,-0.07177788,1.4693503,58.019844,109.12102,6,2,3,2022,2022-03-02 06:00:00
18896,16.401344,0.046787195,-0.27503383,-0.14871205,1.4790201,58.49805,109.87188,7,2,3,2022,2022-03-02 07:00:00
18897,17.821976,-0.016772538,-0.38512605,-0.30694154,1.5449479,62.153954,115.623474,8,2,3,2022,2022-03-02 08:00:00
18898,17.57129,-0.028448235,-0.40888798,-0.34326965,1.5347846,61.670277,114.85659,9,2,3,2022,2022-03-02 09:00:00
18899,18.37832,-0.07776893,-0.47908968,-0.45202106,1.5750486,64.09864,118.66868,10,2,3,2022,2022-03-02 10:00:00
18900,17.784887,-0.07681432,-0.48300284,-0.45935988,1.5491704,62.72355,116.50046,11,2,3,2022,2022-03-02 11:00:00
18901,18.111887,-0.11037088,-0.52573043,-0.5297343,1.5678275,63.94196,118.4093,12,2,3,2022,2022-03-02 12:00:00
18902,17.260714,-0.09795744,-0.5176344,-0.5165649,1.5297345,61.858402,115.12712,13,2,3,2022,2022-03-02 13:00:00
18903,17.207026,-0.116389096,-0.5413143,-0.55690205,1.5303417,62.035694,115.39939,14,2,3,2022,2022-03-02 14:00:00
18904,16.174393,-0.094739266,-0.5282317,-0.53201056,1.4839132,59.47044,111.35781,15,2,3,2022,2022-03-02 15:00:00
18905,15.829948,-0.10011399,-0.54061896,-0.55151784,1.4706719,58.842144,110.36264,16,2,3,2022,2022-03-02 16:00:00
18906,14.684134,-0.07181167,-0.5281497,-0.5226478,1.4196663,56.02485,105.920364,17,2,3,2022,2022-03-02 17:00:00
18907,14.130248,-0.06682177,-0.53564554,-0.52985907,1.3968054,54.842934,104.05184,18,2,3,2022,2022-03-02 18:00:00
18908,12.932819,-0.03437786,-0.52789056,-0.5031377,1.3446012,51.98163,99.53417,19,2,3,2022,2022-03-02 19:00:00
18909,12.242821,-0.021812756,-0.53537583,-0.5051339,1.3160232,50.482826,97.16273,20,2,3,2022,2022-03-02 20:00:00
