,SO2,NO2,NO,NOx,O3,PM2_5,PM10,time,day,month,year,datetime
21469,,,,,,,,2,1,3,2022,2022-03-01 02:00:00
21470,22.350018,0.2383631,1.6157316,2.16945,12.689171,25.553099,51.3484,3,1,3,2022,2022-03-01 03:00:00
21471,22.350018,0.2383631,1.6157316,2.16945,12.689171,25.553099,51.3484,4,1,3,2022,2022-03-01 04:00:00
21472,25.596012,-0.24383882,0.26416835,0.068922795,7.922809,39.830666,70.160194,5,1,3,2022,2022-03-01 05:00:00
21473,25.566,-0.27128807,0.3617763,0.14192255,7.589552,39.820656,70.09206,6,1,3,2022,2022-03-01 06:00:00
21474,28.29992,-0.37488195,0.107533164,-0.24004626,6.9953,49.24004,85.41563,7,1,3,2022,2022-03-01 07:00:00
21475,28.567656,-0.3610643,0.51554465,0.20612817,7.106126,49.11965,85.055984,8,1,3,2022,2022-03-01 08:00:00
21476,31.985277,-0.12598494,1.8275832,1.8040675,6.7011623,55.49186,95.86315,9,1,3,2022,2022-03-01 09:00:00
21477,31.957806,-0.10287512,2.4770257,2.5340478,7.2539506,54.750954,94.19997,10,1,3,2022,2022-03-01 10:00:00
21478,34.732418,0.10389666,3.7456706,3.9888358,7.849223,59.31425,101.30759,11,1,3,2022,2022-03-01 11:00:00
21479,33.43106,0.036533993,3.3479018,3.3896408,13.813394,55.362747,94.42494,12,1,3,2022,2022-03-01 12:00:00
21480,32.837845,0.021522483,2.8695552,2.7042863,22.526297,54.33907,93.63953,13,1,3,2022,2022-03-01 13:00:00
21481,26.10733,0.013581274,1.1245667,0.97055936,35.586853,43.33365,76.96981,14,1,3,2022,2022-03-01 14:00:00
21482,25.508986,0.12051677,0.6685918,0.586905,38.15765,39.832012,70.94668,15,1,3,2022,2022-03-01 15:00:00
21483,22.013365,0.2798989,0.8580807,0.8977311,42.926785,31.707975,56.51394,16,1,3,2022,2022-03-01 16:00:00
21484,20.400036,0.23523512,0.8074473,0.7614006,43.29486,29.117449,52.405537,17,1,3,2022,2022-03-01 17:00:00
21485,19.340723,-0.027475743,0.6661659,0.32904848,43.70724,24.92302,45.019363,18,1,3,2022,2022-03-01 18:00:00
21486,19.051876,0.01771588,0.5125331,0.25410038,42.19478,24.25838,43.955856,19,1,3,2022,2022-03-01 19:00:00
21487,18.84787,0.018353038,0.34738842,0.14418802,40.327793,22.690634,41.38985,20,1,3,2022,2022-03-01 20:00:00
21488,17.7315,0.32251427,-0.11820125,0.06222633,36.39474,23.936377,44.025166,21,1,3,2022,2022-03-01 21:00:00
21489,16.909288,0.36688653,-0.5120259,-0.12554371,30.02023,25.71216,49.175865,22,1,3,2022,2022-03-01 22:00:00
21490,18.805923,0.0076168845,0.23326583,0.4373321,22.919245,29.918797,56.886658,23,1,3,2022,2022-03-01 23:00:00
21491,20.093761,-0.15155791,0.42317742,0.4774023,17.464186,34.111797,64.486206,0,2,3,2022,2022-03-02 00:00:00
21492,20.464848,-0.16502367,0.6589807,0.6210771,13.796468,38.737698,72.14713,1,2,3,2022,2022-03-02 01:00:00
21493,26.942665,-0.4808862,0.4510527,0.14244942,14.200584,42.23889,72.80571,2,2,3,2022,2022-03-02 02:00:00
21494,28.0183,-0.34205014,-0.24077643,-0.5469929,10.546705,47.134468,82.022835,3,2,3,2022,2022-03-02 03:00:00
21495,28.339397,-0.3306982,-0.29867068,-0.6084173,7.9830737,49.468273,85.603325,4,2,3,2022,2022-03-02 04:00:00
21496,29.986246,-0.23835953,-0.33411744,-0.57500774,5.937748,54.295574,94.295364,5,2,3,2022,2022-03-02 05:00:00
21497,31.327488,-0.14629729,0.21231048,0.051378965,5.768931,56.632046,98.26978,6,2,3,2022,2022-03-02 06:00:00
21498,33.62008,0.026461389,0.95641285,0.9415894,5.6631756,60.900364,105.5602,7,2,3,2022,2022-03-02 07:00:00
21499,34.82097,0.10487816,1.6974305,1.7730074,5.7882543,62.54789,108.09733,8,2,3,2022,2022-03-02 08:00:00
21500,37.006508,0.2336592,2.700757,2.898315,5.790756,65.92658,113.44416,9,2,3,2022,2022-03-02 09:00:00
21501,38.09152,0.2685985,3.6538508,3.922599,6.115218,66.71009,114.26528,10,2,3,2022,2022-03-02 10:00:00
21502,39.8526,0.33475977,4.818463,5.1853228,6.5093718,68.72105,117.02216,11,2,3,2022,2022-03-02 11:00:00
21503,38.416256,0.23727351,4.3987975,4.557996,13.00355,65.578354,112.442444,12,2,3,2022,2022-03-02 12:00:00
21504,36.823418,0.12276379,3.7267015,3.579933,21.608444,62.29738,107.94365,13,2,3,2022,2022-03-02 13:00:00
21505,28.44477,0.10042937,1.5014528,1.4245049,34.078743,51.502037,90.19868,14,2,3,2022,2022-03-02 14:00:00
21506,26.496382,0.09170774,0.7597273,0.67019683,38.52868,44.314796,78.675,15,2,3,2022,2022-03-02 15:00:00
21507,23.231577,0.28134164,0.91710496,1.0245616,43.326183,35.174946,62.187874,16,2,3,2022,2022-03-02 16:00:00
21508,20.968864,0.2879922,0.9266028,0.9770633,44.084553,31.069145,55.696903,17,2,3,2022,2022-03-02 17:00:00
21509,18.96536,0.05324459,0.70252824,0.43980733,44.60348,26.238024,47.254093,18,2,3,2022,2022-03-02 18:00:00
21510,18.795805,0.046516117,0.5391191,0.29464933,42.995434,24.89716,44.988625,19,2,3,2022,2022-03-02 19:00:00
21511,18.595825,0.023573449,0.34392148,0.1346412,41.01248,23.104689,42.02052,20,2,3,2022,2022-03-02 20:00:00
21512,17.58564,0.31691182,-0.10520923,0.059383385,37.070812,23.97293,43.90964,21,2,3,2022,2022-03-02 21:00:00
21513,16.68793,0.37858534,-0.55605245,-0.16816074,30.59258,25.638077,48.97208,22,2,3,2022,2022-03-02 22:00:00
21514,18.601414,0.01355237,0.19329298,0.39629078,23.447563,29.614529,56.320023,23,2,3,2022,2022-03-02 23:00:00
21515,20.03282,-0.14605223,0.39379853,0.45540157,17.740562,33.82545,64.01201,0,3,3,2022,2022-03-03 00:00:00
