,SO2,NO2,PM2_5,PM10,time,day,month,year,datetime
36456,,,,,1,1,3,2022,2022-03-01 01:00:00
36457,,,,,2,1,3,2022,2022-03-01 02:00:00
36458,6.9921284,9.1955595,23.163235,66.479866,3,1,3,2022,2022-03-01 03:00:00
36459,6.9921284,9.1955595,23.163235,66.479866,4,1,3,2022,2022-03-01 04:00:00
36460,9.670144,10.876834,26.532587,70.39115,5,1,3,2022,2022-03-01 05:00:00
36461,9.85614,10.820986,26.306746,70.40644,6,1,3,2022,2022-03-01 06:00:00
36462,11.097321,11.429774,28.957346,75.4937,7,1,3,2022,2022-03-01 07:00:00
36463,11.349163,11.357911,28.650366,75.45611,8,1,3,2022,2022-03-01 08:00:00
36464,12.054607,11.72865,30.364023,78.830925,9,1,3,2022,2022-03-01 09:00:00
36465,12.312246,11.675205,30.080692,78.722824,10,1,3,2022,2022-03-01 10:00:00
36466,13.221254,11.949625,31.05269,80.34785,11,1,3,2022,2022-03-01 11:00:00
36467,13.293145,11.955692,30.984022,80.3129,12,1,3,2022,2022-03-01 12:00:00
36468,13.646669,12.235105,32.099884,82.1567,13,1,3,2022,2022-03-01 13:00:00
36469,13.423381,12.314724,32.517273,83.12565,14,1,3,2022,2022-03-01 14:00:00
36470,13.403741,12.60124,33.865288,85.610085,15,1,3,2022,2022-03-01 15:00:00
36471,12.96575,12.766536,34.833794,87.71854,16,1,3,2022,2022-03-01 16:00:00
36472,12.704845,13.11305,36.585255,91.0845,17,1,3,2022,2022-03-01 17:00:00
36473,12.342306,13.398369,38.042023,93.91767,18,1,3,2022,2022-03-01 18:00:00
36474,11.967781,13.980945,40.869625,99.29246,19,1,3,2022,2022-03-01 19:00:00
36475,11.477503,14.511924,43.54013,104.839325,20,1,3,2022,2022-03-01 20:00:00
36476,11.01777,15.250582,47.301926,112.492874,21,1,3,2022,2022-03-01 21:00:00
36477,10.67104,15.886659,50.776257,119.84181,22,1,3,2022,2022-03-01 22:00:00
36478,10.594091,16.384346,54.389664,128.6185,23,1,3,2022,2022-03-01 23:00:00
36479,10.507117,16.831053,57.74204,136.7208,0,2,3,2022,2022-03-02 00:00:00
36480,10.526924,17.319872,61.62225,145.1036,1,2,3,2022,2022-03-02 01:00:00
36481,12.597222,14.6631975,51.32803,108.867714,2,2,3,2022,2022-03-02 02:00:00
36482,13.087006,15.160947,54.067337,114.085045,3,2,3,2022,2022-03-02 03:00:00
36483,12.786157,13.763589,44.73189,98.46302,4,2,3,2022,2022-03-02 04:00:00
36484,13.588238,13.995152,46.246155,100.90584,5,2,3,2022,2022-03-02 05:00:00
36485,13.045188,13.334493,40.198513,92.661,6,2,3,2022,2022-03-02 06:00:00
36486,14.0159,13.496576,41.02391,93.85631,7,2,3,2022,2022-03-02 07:00:00
36487,13.659106,13.094215,37.242054,89.05928,8,2,3,2022,2022-03-02 08:00:00
36488,14.5796385,13.221958,37.73212,89.70217,9,2,3,2022,2022-03-02 09:00:00
36489,14.418223,12.966547,35.3707,86.752815,10,2,3,2022,2022-03-02 10:00:00
36490,15.220939,13.099766,35.670998,87.1909,11,2,3,2022,2022-03-02 11:00:00
36491,14.856462,12.831925,34.477905,85.44919,12,2,3,2022,2022-03-02 12:00:00
36492,15.086248,13.01449,35.181526,86.63811,13,2,3,2022,2022-03-02 13:00:00
