,SO2,NO2,NO,NOx,O3,CO,PM2_5,PM10,time,day,month,year,datetime
20071,3.148,,,,,0.614,19.214,22.495,1,1,3,2022,2022-03-01 01:00:00
20072,,,,,,,,,2,1,3,2022,2022-03-01 02:00:00
20073,7.641719,9.125855,2.5631657,11.482778,24.156782,0.6583708,24.9324,57.774693,3,1,3,2022,2022-03-01 03:00:00
20074,7.641719,9.125855,2.5631657,11.482778,24.156782,0.6583708,24.9324,57.774693,4,1,3,2022,2022-03-01 04:00:00
20075,5.1825633,8.713549,2.2479367,10.856951,19.822042,0.7219823,24.023186,52.619713,5,1,3,2022,2022-03-01 05:00:00
20076,5.012717,8.502685,2.1024485,10.538733,20.248287,0.7121184,23.774353,51.840332,6,1,3,2022,2022-03-01 06:00:00
20077,4.4013395,8.217888,2.342093,10.546783,19.401735,0.73769665,23.235,49.283295,7,1,3,2022,2022-03-01 07:00:00
20078,4.231239,7.8405876,2.0511308,9.960152,20.318527,0.7224784,22.42175,48.309566,8,1,3,2022,2022-03-01 08:00:00
20079,4.1122494,7.5204377,2.0229702,9.6050005,21.172335,0.71886694,21.77457,47.78844,9,1,3,2022,2022-03-01 09:00:00
20080,4.2487235,6.97399,1.771041,8.758813,23.260231,0.6787106,20.156784,46.60359,10,1,3,2022,2022-03-01 10:00:00
20081,4.637494,6.520233,1.6079342,8.073736,25.3021,0.64326286,18.765633,45.96236,11,1,3,2022,2022-03-01 11:00:00
20082,4.9252157,5.894036,1.359944,7.071198,28.003393,0.587294,16.880295,44.618816,12,1,3,2022,2022-03-01 12:00:00
20083,5.4163094,5.4453564,1.193352,6.333106,30.37755,0.5411451,15.537712,44.177135,13,1,3,2022,2022-03-01 13:00:00
20084,5.775209,5.0499315,0.9913044,5.6521683,32.53617,0.4936219,14.1833515,43.577114,14,1,3,2022,2022-03-01 14:00:00
20085,6.257372,4.7328544,0.8438001,5.1388273,34.656113,0.45159444,13.081462,43.463165,15,1,3,2022,2022-03-01 15:00:00
20086,6.2690887,4.3905973,0.65039843,4.5719423,36.321808,0.41232094,12.123547,43.20899,16,1,3,2022,2022-03-01 16:00:00
20087,6.097098,4.183775,0.5134766,4.2070675,37.264587,0.38711056,11.732717,43.35997,17,1,3,2022,2022-03-01 17:00:00
20088,5.844336,4.177935,0.38663715,4.1046524,37.465183,0.36988246,11.719159,43.678787,18,1,3,2022,2022-03-01 18:00:00
20089,5.89636,4.473007,0.36818057,4.405711,36.912533,0.3688355,12.306791,44.504433,19,1,3,2022,2022-03-01 19:00:00
20090,6.053399,5.089448,0.41903922,5.0654173,35.652214,0.37847996,13.42861,46.047016,20,1,3,2022,2022-03-01 20:00:00
20091,6.3214107,6.0003047,0.5086455,6.0452456,33.771152,0.40311432,14.924396,47.74626,21,1,3,2022,2022-03-01 21:00:00
20092,6.711706,7.1950364,0.67784935,7.4808903,31.4245,0.44162962,16.943508,50.277584,22,1,3,2022,2022-03-01 22:00:00
20093,7.250923,8.631634,0.90073377,9.347493,28.800001,0.4924476,19.409866,53.58783,23,1,3,2022,2022-03-01 23:00:00
20094,7.808996,9.9804,1.1300607,11.124837,26.542645,0.53684336,22.051008,57.409748,0,2,3,2022,2022-03-02 00:00:00
20095,8.472199,11.28802,1.7552211,13.017866,24.773417,0.5939297,24.944239,62.09411,1,2,3,2022,2022-03-02 01:00:00
20096,5.7798824,9.42014,2.1504772,11.338171,19.871666,0.6965242,24.636595,55.229713,2,2,3,2022,2022-03-02 02:00:00
20097,6.3605614,9.940276,2.732899,12.405151,19.070068,0.7490928,26.45066,57.532276,3,2,3,2022,2022-03-02 03:00:00
20098,5.1819034,9.107345,2.8110218,11.764367,18.266176,0.7672711,24.99099,52.98943,4,2,3,2022,2022-03-02 04:00:00
20099,5.538263,9.299007,3.2291892,12.380064,18.047338,0.7898616,26.093224,54.413433,5,2,3,2022,2022-03-02 05:00:00
20100,4.9405375,8.766718,2.9352598,11.633385,18.372177,0.7747535,24.771608,51.705513,6,2,3,2022,2022-03-02 06:00:00
20101,5.1995964,8.763348,3.159854,11.898623,18.525272,0.7837027,25.231056,52.380497,7,2,3,2022,2022-03-02 07:00:00
20102,4.656981,8.2609,2.625482,10.9243765,19.332836,0.7563562,23.837364,50.020473,8,2,3,2022,2022-03-02 08:00:00
20103,4.906541,8.039432,2.6029487,10.701637,20.494938,0.75149095,23.525936,50.718452,9,2,3,2022,2022-03-02 09:00:00
20104,4.6836295,7.3271146,2.0460138,9.3878565,22.753637,0.7027499,21.320375,48.520447,10,2,3,2022,2022-03-02 10:00:00
20105,5.261339,6.9063234,1.889171,8.764029,25.012669,0.6667152,20.095926,48.374203,11,2,3,2022,2022-03-02 11:00:00
20106,5.3099976,6.1138353,1.5082372,7.4652843,27.872671,0.6016471,17.649818,46.148754,12,2,3,2022,2022-03-02 12:00:00
20107,5.8013372,5.635602,1.3227208,6.6796203,30.381134,0.55395806,16.249897,45.638557,13,2,3,2022,2022-03-02 13:00:00
20108,5.9471097,5.121247,1.0395485,5.7834196,32.586323,0.49859577,14.510592,44.286144,14,2,3,2022,2022-03-02 14:00:00
20109,6.4107275,4.787747,0.87564635,5.232977,34.758556,0.45478055,13.363056,44.10079,15,2,3,2022,2022-03-02 15:00:00
20110,6.3627257,4.421036,0.6639649,4.622225,36.388668,0.41397467,12.282394,43.554752,16,2,3,2022,2022-03-02 16:00:00
20111,6.168953,4.2066574,0.51648754,4.2316093,37.36104,0.38739392,11.868083,43.690704,17,2,3,2022,2022-03-02 17:00:00
20112,5.886013,4.165047,0.3809122,4.085004,37.593384,0.36954147,11.772818,43.866894,18,2,3,2022,2022-03-02 18:00:00
20113,5.909929,4.436637,0.35274068,4.35822,37.089447,0.36760265,12.318527,44.638332,19,2,3,2022,2022-03-02 19:00:00
20114,6.058671,5.031297,0.39924404,4.9930344,35.863617,0.37635303,13.406764,46.14329,20,2,3,2022,2022-03-02 20:00:00
20115,6.315596,5.9238863,0.48271057,5.9452586,34.008633,0.39954022,14.848664,47.778797,21,2,3,2022,2022-03-02 21:00:00
20116,6.710986,7.0935597,0.6448935,7.330704,31.705204,0.4364733,16.82184,50.227634,22,2,3,2022,2022-03-02 22:00:00
20117,7.2262135,8.524118,0.86102027,9.180835,29.074799,0.4870154,19.253012,53.496243,23,2,3,2022,2022-03-02 23:00:00
20118,7.739366,9.859509,1.0597516,10.922771,26.77252,0.5312135,21.857506,57.17153,0,3,3,2022,2022-03-03 00:00:00
20119,8.432677,11.174399,1.6673245,12.816977,24.95235,0.5879538,24.741293,61.815605,1,3,3,2022,2022-03-03 01:00:00
20120,5.7460666,9.351908,2.0665433,11.189405,20.034458,0.6886458,24.441906,55.059555,2,3,3,2022,2022-03-03 02:00:00
20121,6.315455,9.86592,2.6318398,12.23121,19.228682,0.74208355,26.219187,57.298454,3,3,3,2022,2022-03-03 03:00:00
20122,5.1577296,9.048497,2.7217155,11.619662,18.388786,0.7626848,24.788696,52.79865,4,3,3,2022,2022-03-03 04:00:00
20123,5.478395,9.228686,3.100001,12.182551,18.18371,0.78456146,25.838696,54.099422,5,3,3,2022,2022-03-03 05:00:00
20124,4.9003286,8.70755,2.8282776,11.470409,18.49255,0.7702405,24.57912,51.485962,6,3,3,2022,2022-03-03 06:00:00
20125,5.1047664,8.689983,3.0288908,11.696429,18.644737,0.77790177,24.984184,52.05886,7,3,3,2022,2022-03-03 07:00:00
20126,4.582284,8.195833,2.5019956,10.741036,19.458597,0.7516597,23.635143,49.785717,8,3,3,2022,2022-03-03 08:00:00
