,SO2,NO2,NO,NOx,O3,CO,PM2_5,PM10,time,day,month,year,datetime
22442,3.075,8.878,3.207,12.085,20.465,0.236,1.073,15.092,1,1,3,2022,2022-03-01 01:00:00
22443,,,,,,,,,2,1,3,2022,2022-03-01 02:00:00
22444,4.598842,11.472092,3.7475278,15.092283,12.849156,0.30929616,3.457922,22.12486,3,1,3,2022,2022-03-01 03:00:00
22445,4.598842,11.472092,3.7475278,15.092283,12.849156,0.30929616,3.457922,22.12486,4,1,3,2022,2022-03-01 04:00:00
22446,4.828658,10.634169,4.29075,15.034955,12.76678,0.31291187,1.8584374,20.443592,5,1,3,2022,2022-03-01 05:00:00
22447,4.890067,10.758346,4.8141,15.685009,12.6354065,0.32695058,2.2555726,21.257833,6,1,3,2022,2022-03-01 06:00:00
22448,5.005818,10.9641485,5.441809,16.561394,12.562654,0.34659994,2.6785846,22.258799,7,1,3,2022,2022-03-01 07:00:00
22449,5.159254,11.307214,6.276239,17.740614,12.430911,0.37289405,3.6150796,23.96892,8,1,3,2022,2022-03-01 08:00:00
22450,5.34067,11.682892,7.1346397,19.007593,12.416763,0.40032732,4.6521945,25.741629,9,1,3,2022,2022-03-01 09:00:00
22451,5.471537,12.005229,8.092511,20.381054,12.763142,0.43065184,6.3899264,28.046154,10,1,3,2022,2022-03-01 10:00:00
22452,5.617384,12.042841,8.911936,21.22965,13.404283,0.44132942,7.6324263,29.970694,11,1,3,2022,2022-03-01 11:00:00
22453,5.8303003,10.940012,7.925022,18.946758,17.242777,0.3595203,5.5503926,28.043959,12,1,3,2022,2022-03-01 12:00:00
22454,5.9077535,10.799851,7.0975337,17.805841,19.502647,0.31732228,4.9336133,27.256212,13,1,3,2022,2022-03-01 13:00:00
22455,5.371457,9.788523,6.0063996,15.926008,22.022732,0.26188794,2.6828308,22.97644,14,1,3,2022,2022-03-01 14:00:00
22456,5.087987,9.187718,5.4755907,14.838129,23.405413,0.23077273,1.980543,21.475294,15,1,3,2022,2022-03-01 15:00:00
22457,4.658453,8.466852,5.0060315,13.724051,24.884298,0.19786578,0.9540976,19.44864,16,1,3,2022,2022-03-01 16:00:00
22458,4.41613,8.222543,4.773096,13.272961,25.69644,0.18369733,0.80443996,18.80025,17,1,3,2022,2022-03-01 17:00:00
22459,4.159018,7.9572015,4.582414,12.858237,26.456392,0.17036763,0.5652433,18.071281,18,1,3,2022,2022-03-01 18:00:00
22460,4.0610437,7.93228,4.5803976,12.836925,26.570189,0.17109379,0.8012158,18.331078,19,1,3,2022,2022-03-01 19:00:00
22461,3.971877,7.915196,4.5780487,12.827234,26.673513,0.1719517,1.0058664,18.562471,20,1,3,2022,2022-03-01 20:00:00
22462,3.9149866,8.2755375,4.696236,13.3132515,26.287891,0.18922575,2.0172532,19.930775,21,1,3,2022,2022-03-01 21:00:00
22463,3.5597286,9.596027,5.345931,15.367612,24.67073,0.26024508,5.772045,24.880638,22,1,3,2022,2022-03-01 22:00:00
22464,3.207084,11.134247,5.7557096,17.309938,22.870197,0.33157104,8.906282,29.013899,23,1,3,2022,2022-03-01 23:00:00
22465,3.1373649,12.64315,5.4633923,18.359972,21.372135,0.37723368,9.527738,30.097887,0,2,3,2022,2022-03-02 00:00:00
22466,3.2409575,13.487509,5.352874,18.788746,20.189346,0.39849237,9.45378,31.22964,1,2,3,2022,2022-03-02 01:00:00
22467,4.168112,10.561342,3.323904,14.107205,16.168867,0.26478517,2.9685087,20.821054,2,2,3,2022,2022-03-02 02:00:00
22468,4.4435225,10.731458,3.9409022,14.887502,15.048085,0.28725487,3.0205839,21.460428,3,2,3,2022,2022-03-02 03:00:00
22469,4.3952894,10.044096,3.3691177,13.694858,14.013264,0.26887938,0.4624426,18.133093,4,2,3,2022,2022-03-02 04:00:00
22470,4.6138554,10.379799,4.094276,14.683794,13.401855,0.29632914,1.3211071,19.63416,5,2,3,2022,2022-03-02 05:00:00
22471,4.6837664,10.384583,4.388146,15.019836,13.142668,0.30543318,1.0934092,19.5841,6,2,3,2022,2022-03-02 06:00:00
22472,4.9023943,10.814869,5.299502,16.308868,12.769425,0.33765972,2.3028808,21.698444,7,2,3,2022,2022-03-02 07:00:00
22473,5.0527425,11.108282,6.04735,17.364792,12.646665,0.36154956,3.0643597,23.137737,8,2,3,2022,2022-03-02 08:00:00
22474,5.2988353,11.589922,7.0465775,18.84684,12.5102825,0.3960473,4.4734797,25.448158,9,2,3,2022,2022-03-02 09:00:00
22475,5.422368,11.876556,7.9572086,20.142628,12.878956,0.42459118,6.144548,27.621637,10,2,3,2022,2022-03-02 10:00:00
22476,5.597336,11.984505,8.842488,21.11594,13.458372,0.4387953,7.506536,29.7709,11,2,3,2022,2022-03-02 11:00:00
22477,5.8005295,10.88521,7.8573895,18.84443,17.25687,0.3575865,5.4337296,27.823578,12,2,3,2022,2022-03-02 12:00:00
22478,5.8942823,10.757278,7.070534,17.742664,19.503633,0.3166194,4.842351,27.122566,13,2,3,2022,2022-03-02 13:00:00
22479,5.355651,9.748215,5.959776,15.841626,22.076378,0.26034123,2.586617,22.812737,14,2,3,2022,2022-03-02 14:00:00
22480,5.0829673,9.168285,5.4540596,14.793909,23.421963,0.23011547,1.928936,21.415617,15,2,3,2022,2022-03-02 15:00:00
22481,4.6529903,8.457888,5.0012183,13.713418,24.861788,0.1978429,0.925431,19.427776,16,2,3,2022,2022-03-02 16:00:00
22482,4.418658,8.2286415,4.771917,13.277873,25.660755,0.18412104,0.80359614,18.827305,17,2,3,2022,2022-03-02 17:00:00
22483,4.1685815,7.9811225,4.5830097,12.88092,26.406881,0.1712662,0.5859756,18.141254,18,2,3,2022,2022-03-02 18:00:00
22484,4.07237,7.952227,4.5823903,12.855543,26.522316,0.17192803,0.8242381,18.39952,19,2,3,2022,2022-03-02 19:00:00
22485,3.9844296,7.935334,4.580584,12.844989,26.629751,0.17280959,1.0322535,18.634289,20,2,3,2022,2022-03-02 20:00:00
22486,3.9237485,8.299534,4.700554,13.337416,26.235912,0.19038571,2.0603025,20.020456,21,2,3,2022,2022-03-02 21:00:00
22487,3.5722482,9.602453,5.340757,15.364017,24.638762,0.2604944,5.7704186,24.90805,22,2,3,2022,2022-03-02 22:00:00
22488,3.215315,11.14434,5.7578454,17.316185,22.832138,0.33215544,8.92609,29.057209,23,2,3,2022,2022-03-02 23:00:00
22489,3.1407778,12.6355915,5.457213,18.342957,21.349552,0.37708715,9.5125885,30.076456,0,3,3,2022,2022-03-03 00:00:00
22490,3.2442615,13.473517,5.3430443,18.761198,20.18924,0.3982147,9.443656,31.204844,1,3,3,2022,2022-03-03 01:00:00
22491,4.16448,10.54635,3.3249295,14.098175,16.13287,0.2645962,2.8937995,20.767748,2,3,3,2022,2022-03-03 02:00:00
22492,4.435766,10.709275,3.9370842,14.861853,15.027127,0.2866484,2.947109,21.381876,3,3,3,2022,2022-03-03 03:00:00
22493,4.3888793,10.039748,3.3781838,13.69454,13.996593,0.26891294,0.4444727,18.136374,4,3,3,2022,2022-03-03 04:00:00
22494,4.6070237,10.375013,4.1036243,14.684501,13.388581,0.2963534,1.2958767,19.633583,5,3,3,2022,2022-03-03 05:00:00
22495,4.6767254,10.381507,4.396942,15.019273,13.127479,0.3054861,1.0849751,19.601019,6,3,3,2022,2022-03-03 06:00:00
22496,4.897791,10.815737,5.3137956,16.31769,12.751395,0.33800033,2.29837,21.732386,7,3,3,2022,2022-03-03 07:00:00
22497,5.057811,11.110699,6.0510645,17.366564,12.632126,0.36212456,3.0540009,23.167536,8,3,3,2022,2022-03-03 08:00:00
22498,5.3046193,11.595391,7.047558,18.848549,12.495531,0.39663166,4.458904,25.47755,9,3,3,2022,2022-03-03 09:00:00
22499,5.427539,11.871682,7.944701,20.122232,12.876222,0.4246496,6.1214356,27.620195,10,3,3,2022,2022-03-03 10:00:00
22500,5.599879,11.9748125,8.819556,21.083757,13.458854,0.4387163,7.487815,29.75159,11,3,3,2022,2022-03-03 11:00:00
22501,5.7964153,10.87968,7.8386273,18.825096,17.231024,0.35796025,5.4283204,27.792969,12,3,3,2022,2022-03-03 12:00:00
22502,5.8930182,10.738097,7.056026,17.709028,19.486412,0.31665263,4.8011217,27.071121,13,3,3,2022,2022-03-03 13:00:00
22503,5.35378,9.736779,5.9266615,15.7908125,22.111034,0.25957927,2.550545,22.754936,14,3,3,2022,2022-03-03 14:00:00
22504,5.082429,9.164456,5.4340696,14.764413,23.43083,0.2298398,1.8955003,21.386974,15,3,3,2022,2022-03-03 15:00:00
22505,4.654847,8.470683,4.9952974,13.721773,24.831549,0.1983095,0.9212854,19.45636,16,3,3,2022,2022-03-03 16:00:00
22506,4.424576,8.248113,4.768212,13.293703,25.623428,0.18479635,0.8098807,18.874903,17,3,3,2022,2022-03-03 17:00:00
22507,4.181411,8.012635,4.5836463,12.910061,26.353817,0.17234144,0.61860317,18.232195,18,3,3,2022,2022-03-03 18:00:00
22508,4.0861506,7.983945,4.581431,12.883535,26.474663,0.17296252,0.8508477,18.482725,19,3,3,2022,2022-03-03 19:00:00
22509,3.9994977,7.96664,4.581346,12.872241,26.582489,0.17389844,1.0671248,18.726624,20,3,3,2022,2022-03-03 20:00:00
22510,3.93446,8.328468,4.706901,13.368247,26.182463,0.19166628,2.1090844,20.120472,21,3,3,2022,2022-03-03 21:00:00
22511,3.5861106,9.612646,5.336735,15.364903,24.604597,0.26085398,5.775253,24.945768,22,3,3,2022,2022-03-03 22:00:00
22512,3.225009,11.158784,5.7624326,17.329073,22.792091,0.33287024,8.9518585,29.110611,23,3,3,2022,2022-03-03 23:00:00
22513,3.1482913,12.644133,5.4599175,18.349777,21.311703,0.37748992,9.5119295,30.098042,0,4,3,2022,2022-03-04 00:00:00
22514,3.2482033,13.46092,5.3340507,18.735552,20.18838,0.39798692,9.436633,31.18451,1,4,3,2022,2022-03-04 01:00:00
22515,4.1649523,10.54008,3.3334968,14.105355,16.086193,0.26484114,2.8328664,20.74124,2,4,3,2022,2022-03-04 02:00:00
22516,4.4283986,10.688057,3.9342713,14.838018,15.005173,0.28608865,2.875603,21.306282,3,4,3,2022,2022-03-04 03:00:00
22517,4.3847523,10.039792,3.39212,13.702333,13.97455,0.26919025,0.43802235,18.156507,4,4,3,2022,2022-03-04 04:00:00
22518,4.6004806,10.371315,4.114194,14.687338,13.374399,0.29642966,1.2730097,19.636728,5,4,3,2022,2022-03-04 05:00:00
22519,4.6715574,10.3821125,4.409949,15.02549,13.108911,0.30577403,1.087792,19.638348,6,4,3,2022,2022-03-04 06:00:00
22520,4.8934684,10.817755,5.329433,16.32881,12.7324505,0.33839613,2.2963822,21.770336,7,4,3,2022,2022-03-04 07:00:00
22521,5.063999,11.115524,6.0570073,17.37251,12.616291,0.36282367,3.0496538,23.207188,8,4,3,2022,2022-03-04 08:00:00
22522,5.31076,11.602066,7.049565,18.852295,12.480017,0.39726788,4.446492,25.510672,9,4,3,2022,2022-03-04 09:00:00
22523,5.4344625,11.87779,7.945006,20.123922,12.8635435,0.42524195,6.1098657,27.652185,10,4,3,2022,2022-03-04 10:00:00
22524,5.603202,11.968549,8.80097,21.058226,13.455597,0.43880233,7.4761777,29.746946,11,4,3,2022,2022-03-04 11:00:00
