,SO2,O3,PM2_5,PM10,time,day,month,year,datetime
36457,,,,,1,1,3,2022,2022-03-01 01:00:00
36458,,,,,2,1,3,2022,2022-03-01 02:00:00
36459,3.462257,10.558604,42.209663,95.097755,3,1,3,2022,2022-03-01 03:00:00
36460,3.462257,10.558604,42.209663,95.097755,4,1,3,2022,2022-03-01 04:00:00
36461,7.8865848,5.3559704,56.66159,112.40654,5,1,3,2022,2022-03-01 05:00:00
36462,7.7282634,5.5867195,55.91542,111.43303,6,1,3,2022,2022-03-01 06:00:00
36463,9.715646,4.70486,63.73578,123.194374,7,1,3,2022,2022-03-01 07:00:00
36464,9.486625,4.980565,62.58412,121.44236,8,1,3,2022,2022-03-01 08:00:00
36465,10.622651,4.571702,67.12107,128.18472,9,1,3,2022,2022-03-01 09:00:00
36466,10.295565,4.9230204,65.37868,125.804565,10,1,3,2022,2022-03-01 10:00:00
36467,10.711784,4.736245,67.227516,128.74062,11,1,3,2022,2022-03-01 11:00:00
36468,10.257883,5.103656,65.07531,125.72521,12,1,3,2022,2022-03-01 12:00:00
36469,10.251211,5.1768928,65.06876,125.97559,13,1,3,2022,2022-03-01 13:00:00
36470,9.689415,5.521162,62.753395,122.63257,14,1,3,2022,2022-03-01 14:00:00
36471,9.432752,5.707119,61.77023,121.36029,15,1,3,2022,2022-03-01 15:00:00
36472,8.8585005,6.0519276,59.45055,117.9961,16,1,3,2022,2022-03-01 16:00:00
36473,8.465563,6.3106856,57.901005,115.84995,17,1,3,2022,2022-03-01 17:00:00
36474,7.9051642,6.6426926,55.637558,112.57494,18,1,3,2022,2022-03-01 18:00:00
36475,7.498954,6.8994684,54.08059,110.430435,19,1,3,2022,2022-03-01 19:00:00
36476,7.0197773,7.1735005,52.294666,107.88574,20,1,3,2022,2022-03-01 20:00:00
36477,6.6670847,7.429737,50.938957,105.93299,21,1,3,2022,2022-03-01 21:00:00
36478,6.2946186,7.7114425,49.481678,103.78812,22,1,3,2022,2022-03-01 22:00:00
36479,5.9921193,7.977292,48.254097,101.959854,23,1,3,2022,2022-03-01 23:00:00
36480,5.6849785,8.039347,47.57667,100.65111,0,2,3,2022,2022-03-02 00:00:00
36481,5.415047,7.9594846,47.377357,99.89916,1,2,3,2022,2022-03-02 01:00:00
36482,9.277229,4.201079,62.553684,120.86315,2,2,3,2022,2022-03-02 02:00:00
36483,9.065508,4.4489937,61.608864,119.61026,3,2,3,2022,2022-03-02 03:00:00
36484,10.9281845,3.4718463,70.143936,132.4495,4,2,3,2022,2022-03-02 04:00:00
36485,10.7087,3.7635043,68.89204,130.7198,5,2,3,2022,2022-03-02 05:00:00
36486,11.735048,3.383953,73.50418,137.41672,6,2,3,2022,2022-03-02 06:00:00
36487,11.523978,3.6640584,72.13069,135.52847,7,2,3,2022,2022-03-02 07:00:00
36488,12.058149,3.5576484,74.3247,138.65834,8,2,3,2022,2022-03-02 08:00:00
36489,11.797397,3.8410268,72.74582,136.55185,9,2,3,2022,2022-03-02 09:00:00
36490,11.899582,3.881273,73.07217,137.2298,10,2,3,2022,2022-03-02 10:00:00
36491,11.509005,4.200752,71.17608,134.63007,11,2,3,2022,2022-03-02 11:00:00
36492,11.342712,4.385139,70.34636,133.6254,12,2,3,2022,2022-03-02 12:00:00
36493,10.847945,4.791814,67.99403,130.46466,13,2,3,2022,2022-03-02 13:00:00
36494,10.475992,5.114675,66.26563,128.21242,14,2,3,2022,2022-03-02 14:00:00
36495,9.904127,5.463005,63.905403,124.78031,15,2,3,2022,2022-03-02 15:00:00
36496,9.423384,5.757051,61.96919,121.9937,16,2,3,2022,2022-03-02 16:00:00
36497,8.843466,6.1047688,59.63001,118.594635,17,2,3,2022,2022-03-02 17:00:00
36498,8.341756,6.4177504,57.575897,115.63082,18,2,3,2022,2022-03-02 18:00:00
36499,7.838858,6.7232094,55.509502,112.60283,19,2,3,2022,2022-03-02 19:00:00
36500,7.3827662,6.9804764,53.822628,110.221405,20,2,3,2022,2022-03-02 20:00:00
36501,6.9362254,7.2350764,52.145096,107.825516,21,2,3,2022,2022-03-02 21:00:00
36502,6.5683084,7.5042534,50.72175,105.76044,22,2,3,2022,2022-03-02 22:00:00
36503,6.22913,7.791317,49.3456,103.67774,23,2,3,2022,2022-03-02 23:00:00
36504,5.9252653,7.8639235,48.64502,102.35247,0,3,3,2022,2022-03-03 00:00:00
36505,5.6358685,7.789026,48.376446,101.47412,1,3,3,2022,2022-03-03 01:00:00
36506,9.500455,4.0750246,63.739178,122.7294,2,3,3,2022,2022-03-03 02:00:00
36507,9.290445,4.371174,62.678684,121.42108,3,3,3,2022,2022-03-03 03:00:00
36508,11.132182,3.3731399,71.36679,134.40863,4,3,3,2022,2022-03-03 04:00:00
36509,10.921961,3.644402,70.09234,132.66273,5,3,3,2022,2022-03-03 05:00:00
36510,11.946362,3.2967265,74.738235,139.40756,6,3,3,2022,2022-03-03 06:00:00
36511,11.735617,3.5538602,73.39649,137.53667,7,3,3,2022,2022-03-03 07:00:00
36512,12.271665,3.4460862,75.60646,140.69273,8,3,3,2022,2022-03-03 08:00:00
36513,12.010512,3.72564,74.02942,138.58812,9,3,3,2022,2022-03-03 09:00:00
36514,12.106428,3.7645953,74.34753,139.26077,10,3,3,2022,2022-03-03 10:00:00
36515,11.722637,4.069285,72.433754,136.69096,11,3,3,2022,2022-03-03 11:00:00
