,SO2,NO2,NO,NOx,O3,CO,PM2_5,PM10,time,day,month,year,datetime
34408,5.888,10.86,1.811,12.671,11.106,0.798,10.629,13.395,1,1,3,2022,2022-03-01 01:00:00
34409,,,,,,,,,2,1,3,2022,2022-03-01 02:00:00
34410,4.6465716,4.006428,1.2498364,5.370638,14.107612,0.6910232,16.408419,45.26828,3,1,3,2022,2022-03-01 03:00:00
34411,4.6465716,4.006428,1.2498364,5.370638,14.107612,0.6910232,16.408419,45.26828,4,1,3,2022,2022-03-01 04:00:00
34412,3.9038267,3.9168406,1.5495467,5.5732756,11.756145,0.7210324,16.441868,44.34748,5,1,3,2022,2022-03-01 05:00:00
34413,3.9640408,4.0023894,1.6058321,5.7070465,11.4767885,0.7277289,16.767294,45.247208,6,1,3,2022,2022-03-01 06:00:00
34414,3.9948719,4.100383,1.6674349,5.876718,10.965015,0.7398341,17.625956,47.355812,7,1,3,2022,2022-03-01 07:00:00
34415,4.1520824,4.1909823,1.9358382,6.221505,10.964361,0.75051266,18.009619,48.993683,8,1,3,2022,2022-03-01 08:00:00
34416,4.360196,4.27465,2.3968115,6.7500815,11.021334,0.76560277,18.43134,51.199512,9,1,3,2022,2022-03-01 09:00:00
34417,4.7758946,4.3139205,2.9644134,7.3054557,11.894563,0.7713565,17.855526,51.805576,10,1,3,2022,2022-03-01 10:00:00
34418,4.9197,4.4373364,3.5042055,7.9321733,12.838755,0.7845483,17.995556,53.049423,11,1,3,2022,2022-03-01 11:00:00
34419,5.262638,4.4146323,3.629567,8.020536,15.15309,0.7574651,17.072908,55.33791,12,1,3,2022,2022-03-01 12:00:00
34420,5.7227154,4.237828,3.4258626,7.6818233,18.776224,0.7014541,15.933799,61.29668,13,1,3,2022,2022-03-01 13:00:00
34421,5.9719834,3.9099908,3.2707999,7.2585864,20.699955,0.6603415,14.1150875,64.53407,14,1,3,2022,2022-03-01 14:00:00
34422,5.9745483,3.5571954,3.0642755,6.7576575,22.19735,0.6231311,12.417949,67.29913,15,1,3,2022,2022-03-01 15:00:00
34423,5.9191203,3.340201,2.7503102,6.247756,23.311792,0.59426695,11.515205,67.90507,16,1,3,2022,2022-03-01 16:00:00
34424,5.722364,3.1996508,2.6642551,6.0301113,23.643255,0.59092814,11.226305,67.93093,17,1,3,2022,2022-03-01 17:00:00
34425,5.5398893,3.0854368,2.584404,5.843849,23.806675,0.5890445,11.045474,67.71316,18,1,3,2022,2022-03-01 18:00:00
34426,5.4252324,3.0481458,2.5239673,5.751821,23.722063,0.5889916,11.055291,67.548775,19,1,3,2022,2022-03-01 19:00:00
34427,5.335718,3.021506,2.4508245,5.6552157,23.617144,0.587777,11.041073,67.18486,20,1,3,2022,2022-03-01 20:00:00
34428,5.267956,3.0228574,2.3985782,5.60607,23.430067,0.5879497,11.08405,66.870926,21,1,3,2022,2022-03-01 21:00:00
34429,4.6464047,3.5963483,1.5669246,5.3291984,22.33719,0.6001491,13.717208,67.35111,22,1,3,2022,2022-03-01 22:00:00
34430,3.9729562,4.332244,0.3472328,4.8126493,20.77893,0.6221463,18.153479,66.705376,23,1,3,2022,2022-03-01 23:00:00
34431,3.7233968,4.599395,0.41881564,5.0969086,19.69548,0.64690435,19.717375,64.60452,0,2,3,2022,2022-03-02 00:00:00
34432,4.1794944,4.734733,0.7319742,5.489147,19.121181,0.6712056,20.089928,64.229546,1,2,3,2022,2022-03-02 01:00:00
34433,4.6999025,3.9977632,1.0914913,5.1213,15.546063,0.6767895,17.005707,48.457096,2,2,3,2022,2022-03-02 02:00:00
34434,4.7048774,4.088607,1.2554649,5.4178686,14.392801,0.7025907,17.378593,48.60804,3,2,3,2022,2022-03-02 03:00:00
34435,4.0521913,3.881561,1.4040716,5.3941674,12.515977,0.7093939,16.322847,44.5381,4,2,3,2022,2022-03-02 04:00:00
34436,4.006094,3.9801779,1.5943414,5.681311,11.826193,0.726095,16.830448,45.303585,5,2,3,2022,2022-03-02 05:00:00
34437,3.9100251,4.004613,1.6081421,5.7266326,11.214724,0.7312907,17.065321,45.799,6,2,3,2022,2022-03-02 06:00:00
34438,4.068416,4.1522417,1.7001243,5.9609613,10.987196,0.7429773,17.851402,47.88789,7,2,3,2022,2022-03-02 07:00:00
34439,4.194624,4.221154,1.9714586,6.289646,10.970154,0.75292295,18.174004,49.384556,8,2,3,2022,2022-03-02 08:00:00
34440,4.424159,4.3115325,2.4462264,6.8365417,11.046122,0.76810896,18.57512,51.587414,9,2,3,2022,2022-03-02 09:00:00
34441,4.8379426,4.3489323,3.008922,7.38516,11.91902,0.7734798,17.977348,52.134876,10,2,3,2022,2022-03-02 10:00:00
34442,4.9887366,4.4776564,3.5491621,8.018104,12.856925,0.78696877,18.148048,53.444984,11,2,3,2022,2022-03-02 11:00:00
34443,5.3353043,4.452497,3.659082,8.090138,15.21671,0.7583447,17.200468,55.797607,12,2,3,2022,2022-03-02 12:00:00
34444,5.802347,4.28448,3.458039,7.7625413,18.818317,0.70290774,16.092516,61.77734,13,2,3,2022,2022-03-02 13:00:00
34445,6.0574665,3.9490018,3.2965527,7.324343,20.752617,0.66139436,14.277706,64.85348,14,2,3,2022,2022-03-02 14:00:00
